id,userId,status,paymentStatus,subtotal,tax,shippingCost,totalAmount,shippingAddress,billingAddress,paymentMethod,paymentTransactionId,trackingNumber,shippingCarrier,orderNotes,cancellationReason,createdAt,updatedAt,processedAt,shippedAt,deliveredAt,cancelledAt
d6654a24-680c-4155-9615-c8927ad4c58b,7f0972eb-52c5-462b-a855-c7bd54876143,PROCESSING,COMPLETED,228.61,18.29,0,246.9,"987 Cedar Ln, Georgetown, OR 97001","987 Cedar Ln, Georgetown, OR 97001",Apple Pay,7e4b52d4-dd4d-4951-8f80-044052409bec,,,,,2024-06-12T21:58:09.628850Z,2024-09-15T18:11:57.462104Z,2024-09-15T18:11:57.462104Z,,,
5702c1a4-dfd8-443b-b9a6-a3e6d9616f39,7f0972eb-52c5-462b-a855-c7bd54876143,CANCELLED,FAILED,2265.98,181.28,0,2447.26,"654 Maple Dr, Lincoln, WA 98001","654 Maple Dr, Lincoln, WA 98001",Credit Card,,,,,Customer request,2024-03-23T03:51:59.326804Z,2024-08-19T03:22:43.189180Z,,,,2024-08-19T03:22:43.189180Z
588f4bb1-22ca-407c-be51-c854b17d4527,7f0972eb-52c5-462b-a855-c7bd54876143,CANCELLED,COMPLETED,4519.72,361.58,0,4881.3,"123 Main St, Anytown, NY 10001","123 Main St, Anytown, NY 10001",Bank Transfer,df1562b3-2689-4387-a182-407f3aa67c55,,,,Customer request,2022-03-09T10:15:23.148249Z,2023-07-12T15:12:50.423923Z,,,,2023-07-12T15:12:50.423923Z
871b5d44-4cc2-400b-9ecc-51d22c891f94,7f0972eb-52c5-462b-a855-c7bd54876143,SHIPPED,PROCESSING,2059.75,164.78,0,2224.53,"123 Main St, Anytown, NY 10001","654 Maple Dr, Lincoln, WA 98001",Bank Transfer,,TRK716006,Amazon Logistics,,,2024-08-24T20:27:25.456276Z,2024-11-28T02:31:01.515101Z,2024-11-28T02:31:01.515101Z,2024-11-28T02:31:01.515101Z,,
df7f4e6d-6c09-49b4-9606-a4f79f0c8aad,7f0972eb-52c5-462b-a855-c7bd54876143,SHIPPED,COMPLETED,7879.75,630.38,0,8510.13,"123 Main St, Anytown, NY 10001","987 Cedar Ln, Georgetown, OR 97001",Apple Pay,8ae91ee5-bb44-4146-8100-38a378d504e7,TRK847016,DHL,,,2024-01-27T01:34:01.049500Z,2024-06-30T12:12:22.563886Z,2024-06-30T12:12:22.563886Z,2024-06-30T12:12:22.563886Z,,
38896590-d538-4c86-824c-68892eb9f6b1,0c9d6ffb-f2f1-4223-ab89-9016277b4632,DELIVERED,COMPLETED,3775.1000000000004,302.01,0,4077.1100000000006,"123 Main St, Anytown, NY 10001","123 Main St, Anytown, NY 10001",Debit Card,84c3ba0b-4725-453b-9d6b-2302f621fbd3,TRK543380,Amazon Logistics,,,2023-08-08T20:39:00.047431Z,2024-11-22T12:13:57.722877Z,2024-11-22T12:13:57.722877Z,2024-11-22T12:13:57.722877Z,2024-11-22T12:13:57.722877Z,
10a7515b-dee4-406a-86e8-56f9f30927b0,8f634fb1-1bf2-4640-9f50-c028b0a54c0e,PROCESSING,FAILED,131.8,10.54,0,142.34,"456 Oak Ave, Springfield, CA 90210","789 Pine Rd, Madison, TX 75001",Apple Pay,,,,,,2024-01-25T08:26:44.010724Z,2024-08-24T13:24:17.883566Z,2024-08-24T13:24:17.883566Z,,,
012b05b6-3a6b-42be-b7dc-99d6afdd11c5,8f634fb1-1bf2-4640-9f50-c028b0a54c0e,PENDING,COMPLETED,11327.599999999999,906.21,0,12233.809999999998,"321 Elm St, Franklin, FL 33101","321 Elm St, Franklin, FL 33101",Debit Card,2180b84c-3cd3-45a0-987c-f5ebce656063,,,,,2022-05-12T21:44:14.073950Z,2024-02-23T03:07:10.946043Z,,,,
a3cf843b-2e11-44eb-a77e-3040a26a0616,8f634fb1-1bf2-4640-9f50-c028b0a54c0e,SHIPPED,FAILED,2089.0,167.12,0,2256.12,"321 Elm St, Franklin, FL 33101","321 Elm St, Franklin, FL 33101",Credit Card,,TRK187669,FedEx,,,2022-07-26T02:35:54.522156Z,2023-02-16T04:33:02.491737Z,2023-02-16T04:33:02.491737Z,2023-02-16T04:33:02.491737Z,,
c0285747-5bf5-4253-8b5c-6f81c7ecd87b,191f7d79-01cf-4184-9e1d-637e3d4934cd,SHIPPED,COMPLETED,7377.200000000001,590.18,0,7967.380000000001,"456 Oak Ave, Springfield, CA 90210","456 Oak Ave, Springfield, CA 90210",Google Pay,b62031c7-c9f0-4583-86e3-a471816b4238,TRK284055,DHL,,,2024-01-27T04:28:38.806487Z,2024-02-17T21:59:32.804037Z,2024-02-17T21:59:32.804037Z,2024-02-17T21:59:32.804037Z,,
